mix,Metabolite Name,MW,Estimated RT,TMS,MeOx,InChIKey
1,trans-3-hydroxy-L-proline,131.0582431,12.89,3,,BJBUEDPLEOHJGE-IMJSIDKUSA-N
1,dihydroxyacetone phosphate,169.9980249,,3,,GNGACRATGGDKBX-UHFFFAOYSA-N
1,allo-inositol,180.0633881,17.554,6,,CDAISMWEOUEBRE-UHFFFAOYSA-N
1,9-phenanthrenol,194.0731649,,1,,DZKIUEHLEXLYKM-UHFFFAOYSA-N
1,dioctyl phthalate,390.2770097,23.525,0,,MQIUGAXCHLFZKX-UHFFFAOYSA-N
1,L-dithiothreitol,154.0122219,,4,,VHJLVAABSRFDPM-IMJSIDKUSA-N
1,N-cyclohexylformamide,127.099714,,1,,SWGXDLRCJNEEGZ-UHFFFAOYSA-N
1,phosphate,94.95342047,10.326,3,,NBIIXXVUZAFLBC-UHFFFAOYSA-K
2,L-alanine-D4,93.07278545,,2,,QNAYBMKLOCPYGJ-IALWIIEESA-N
2,DL-3-aminoisobutyric acid,103.0633285,12.893,3,,QCHPKSFMDHPSNR-UHFFFAOYSA-N
2,phenylphosphoric acid,174.0081957,14.432,2,,CMPQUABWPXYYSH-UHFFFAOYSA-N
2,N-acetyl-L-glutamic acid,189.0637225,16.585,2,,RFMMMVDNIPUKGG-YFKPBYRVSA-N
2,methyl-β-D-galactopyranoside,194.0790382,,4,,HOVAGTYPODGVJG-TVPFVARWSA-N
2,lipoamide,205.0595065,20.363,1,,FCCDDURTIIUXBY-UHFFFAOYSA-N
2,alizarin,240.0422587,23.819,2,,RGCKGOZRHPZPFP-UHFFFAOYSA-N
2,oxytetracycline,460.1481804,,7,,OWFJMIVZYSDULZ-PXOLEDIWSA-N
2,3-aminopropionitrile,70.0530982,,2,,AGSPXMVUFBBBMO-UHFFFAOYSA-N
3,acetoacetate,101.023869,,2,,WDJHALXBUFZDSR-UHFFFAOYSA-M
3,2-phenylacetamide,135.0684139,12.865,1,,LSBDFXRDZJMBSC-UHFFFAOYSA-N
3,3-(4-hydroxyphenyl)propionic acid,166.0629942,16.384,2,,NMHMNPHRMNGLLB-UHFFFAOYSA-N
3,DL-4-hydroxy-3-methoxymandelic acid,198.0528234,17.542,3,,CGQCWMIAEPEHNQ-UHFFFAOYSA-N
3,"5α-androstane-3β,17β-diol",292.46,,2,,
3,p-toluenesulfonic acid,172.0194153,,1,,JOXIMZWYDAKGHI-UHFFFAOYSA-N
4,4-hydroxy-3-methoxybenzoic acid,168.0422587,16.412,2,,WKOLLVMJNQIZCI-UHFFFAOYSA-N
4,3-indoleacetonitrile,156.0687483,,0,,DMCPFOBLJMLSNX-UHFFFAOYSA-N
4,paraoxon,275.0558742,18.077,0,,WYMSBXTXOHUIGT-UHFFFAOYSA-N
4,phloretin,274.0841235,24.936,4,,VGEREEWJJVICBM-UHFFFAOYSA-N
4,lactamide,89.04767847,8.985,2,,SXQFCVDSOLSHOQ-UHFFFAOYSA-N
4,3-hydroxybenzyl alcohol,124.0524295,12.969,2,,OKVJCVWFVRATSG-UHFFFAOYSA-N
4,Asp-Glu,262.0801008,22.193,4,,CKAJHWFHHFSCDT-WHFBIAKZSA-N
5,nicotinamide,122.0480128,13.177,1,,DFPAKSUCGFBDDF-UHFFFAOYSA-N
5,phenylalanine,165.0789786,13.936,1,,COLNVLDHVKWLRT-QMMMGPOBSA-N
5,phloroglucinol,126.031694,15.031,3,,QCDYQQDYXPDABM-UHFFFAOYSA-N
5,O-phosphocolamine,141.0190947,16.56,4,,SUHOOTKUPISOBE-UHFFFAOYSA-N
5,"DL-3,4-dihydroxyphenylglycol",170.0579088,17.545,4,,MTVWFVDWRVYDOR-UHFFFAOYSA-N
5,L-kynurenine,208.0847923,20.62,3,,YGPSJZOEDVAXAB-QMMMGPOBSA-N
5,D-(+)-trehalose,342.1162115,,8,,HDTRYLNUVZCQOY-LIZSDCNHSA-N
5,isomaltose,342.1162115,,8,,DLRVVLDZNNYCBX-RTPHMHGBSA-N
5,naphthalene,128.0626003,,0,,UFWIBTONFRDIAS-UHFFFAOYSA-N
6,4-hydroxy-6-methyl-2-pyrone,126.031694,13.272,1,,NSYSSMYQPLSPOD-UHFFFAOYSA-N
6,4-hydroxyquinoline,145.0527638,15.034,1,,PMZDQRJGMBOQBF-UHFFFAOYSA-N
6,3-methyl-L-histidine,169.0851266,17.458,2,,JDHILDINMRGULE-LURJTMIESA-N
6,phenaceturic acid,193.0738932,17.764,1,,UTYVDVLMYQPLQB-UHFFFAOYSA-N
6,2-aminoethanethiol,77.0299204,,1,,UFULAYFCSOUIOV-UHFFFAOYSA-N
6,piceatannol,244.0735589,,4,,CDRPUGZCRXZLFL-OWOJBTEDSA-N
7,beta-alanine,89.04767847,12.444,3,,UCMIRNVEIXFBKS-UHFFFAOYSA-N
7,4-hydroxyphenylacetic acid,152.0473441,15.015,2,,XQXPVVBIMDBYFF-UHFFFAOYSA-N
7,lactulose,342.1162115,,8,,JCQLYHFGKNRPGE-FCVZTGTOSA-N
7,guanosine,283.0916685,25.251,5,,NYHBQMYGNKIUIF-UUOKFMHZSA-N
7,farnesol,222.1983654,,1,,CRDAMVZIKSXKFV-YFVJMOTDSA-N
7,N-carbamyl-L-glutamic acid,190.0589714,19.251,3,,LCQLHJZYVOQKHU-VKHMYHEASA-N
7,"dihydro-4,4-dimethyl-2,3-furandione",128.0473441,8.743,0,1,HRTOQFBQOFIFEE-UHFFFAOYSA-N
7,4-guanidinobutyric acid,145.0851266,,2,,TUHVEAJXIMEOSA-UHFFFAOYSA-N
7,juglone,174.031694,,1,,KQPYUDDGWXQXHS-UHFFFAOYSA-N
7,urethane,89.04767847,7.004,1,,JOYRKODLDBILNP-UHFFFAOYSA-N
8,L-pyroglutamic acid,129.0425931,13.549,2,,ODHCTXKNWHHXJC-VKHMYHEASA-N
8,L-beta-phenyllactic acid,166.0629942,,1,,VOXXWSYKYCBWHO-QMMMGPOBSA-N
8,L-ornithine,132.0898776,16.926,4,,AHLPHDHHMVZTML-BYPYZUCNSA-N
8,pyridoxine,169.0738932,17.718,3,,LXNHXLLTXMVWPM-UHFFFAOYSA-N
8,5′-deoxy-5′-(methylthio)adenosine,297.0895605,25.424,3,,WUUGFSXJNOTRMR-IOSLPCCCSA-N
8,vanillin,152.0473441,,1,,MWOOGOJBHIARFG-UHFFFAOYSA-N
8,acetanilide,135.0684139,10.507,1,,FZERHIULMFGESH-UHFFFAOYSA-N
8,N-2-fluorenylacetamide,223.099714,21.002,1,,CZIHNRWJTSTCEX-UHFFFAOYSA-N
9,acetol,74.03677943,,1,,XLSMFKSTNGKWQX-UHFFFAOYSA-N
9,nicotinic acid,123.0320284,10.743,1,,PVNIIMVLHYAWGP-UHFFFAOYSA-N
9,lauric acid,200.17763,15.108,1,,POULHZVOKOAJMA-UHFFFAOYSA-N
9,citric acid,192.0270026,16.939,4,,KRKNYBCHXYNGOX-UHFFFAOYSA-N
9,D-erythrose-4-phosphate,200.0085896,,4,,NGHMDNPXVRFFGS-IUYQGCFVSA-N
9,"3,5-dimethoxy-4-hydroxycinnamic acid",224.0684735,19.311,2,,PCMORTLOPMLEFB-ONEGZZNKSA-N
9,liquiritigenin,256.0735589,25.082,2,,FURUXTVZLHCCNA-AWEZNQCLSA-N
9,squalene,410.3912516,,0,,YYGNTYWPHWGJRM-AAJYLUCBSA-N
10,4-hydroxybenzyl cyanide,133.0527638,13.594,1,,AYKYOOPFBCOXSL-UHFFFAOYSA-N
10,"(1R,2S)-cis-1,2-dihydro-1,2-naphthalenediol",162.0680796,15.276,2,,QPUHWUSUBHNZCG-VHSXEESVSA-N
10,hypoxanthine,136.0385108,16.905,2,,FDGQSTZJBFJUBT-UHFFFAOYSA-N
10,L-gulonic acid γ-lactone,178.047738,18.062,4,,SXZYCXMUPBBULW-SKNVOMKLSA-N
10,spermidine,145.1578976,21.124,5,,ATHGHQPFGPMSJY-UHFFFAOYSA-N
11,cyclohexanamine,99.10479942,11.303,2,,PAFZNILMFXTMIY-UHFFFAOYSA-N
11,trans-4-hydroxy-L-proline,131.0582431,13.621,3,,PMMYEEVYMWASQN-DMTCNVIQSA-N
11,3-ureidopropionate,132.0534921,,3,,JSJWCHRYRHKBBW-UHFFFAOYSA-N
11,DL-isocitric acid,192.0270026,16.932,4,,ODBLHEXUDAPZAU-UHFFFAOYSA-N
11,D-(-)-mannitol,182.0790382,,6,,FBPFZTCFMRRESA-KVTDHHQDSA-N
11,"4',5,7-trihydroxyisoflavone",270.0528234,26.617,3,,TZBJGXHYKVUXJN-UHFFFAOYSA-N
11,chlorogenic acid,354.0950822,27.572,6,,CWVRJTMFETXNAD-JUHZACGLSA-N
11,salicylaldehyde,122.0367794,,1,,SMQUZDBALVYZAC-UHFFFAOYSA-N
12,dihydrocoumarin,148.0524295,,0,,VMUXSMXIQBNMGZ-UHFFFAOYSA-N
12,citral,152.1201151,,0,1,WTEVQBCEXWBHNA-JXMROGBWSA-N
12,6-methylmercaptopurine,166.0313174,18.138,1,,UIJIQXGRFSPYQW-UHFFFAOYSA-N
12,L-hyoscyamine,289.1677936,21.366,1,,RKUNBYITZUJHSG-VFSICIBPSA-N
12,2-aminophenol,109.0527638,,2,,CDAWCLOXVUBKRW-UHFFFAOYSA-N
12,"1,2-cyclohexanedione",112.0524295,,0,2,OILAIQUEIWYQPH-UHFFFAOYSA-N
12,synephrine,167.0946287,17.01,3,,YRCWQPVGYLYSOX-UHFFFAOYSA-N
12,maltotriose,504.1690349,,11,,FYGDTMLNYKFZSV-DZOUCCHMSA-N
12,glycyl-tyrosyl-alanine,309.1324707,30.082,6,,UIQGJYUEQDOODF-KWQFWETISA-N
13,benzoylformic acid,150.031694,,1,,FAQJJMHZNSSFSM-UHFFFAOYSA-N
13,fumaric acid,116.0109586,11.357,2,,VZCYOOQTPOCHFL-OWOJBTEDSA-N
13,9-hydroxyfluorene,182.0731649,16.88,1,,AFMVESZOYKHDBJ-UHFFFAOYSA-N
13,pyridoxal 5′-phosphate,245.008924,21,3,,NGVDGCNFYWLIFO-UHFFFAOYSA-L
13,D-(+)-panthenol,205.1314081,21.932,4,,SNPLKNRPJHDVJA-UHFFFAOYSA-N
13,D-(+)-melezitose,504.1690349,,11,,QWIZNVHXZXRPDR-WSCXOGSTSA-N
13,vitexin,432.1056468,32.897,7,,SGEWCQFRYRRZDC-VPRICQMDSA-N
14,methyl cinnamate,162.0680796,,0,,CCRCUPLGCSFEDV-BQYQJAHWSA-N
14,3-(1-pyrazolyl)-L-alanine,155.0694765,,3,,PIGOPELHGLPKLL-YFKPBYRVSA-N
14,1-hydroxy-2-naphthoic acid,188.0473441,18.76,2,,SJJCQDRGABAVBB-UHFFFAOYSA-N
14,aniline-o-sulfonic acid,173.0146643,,3,,ZMCHBSMFKQYNKA-UHFFFAOYSA-N
14,N-acetyl-D-tryptophan,246.1004423,,3,,DZTHIGRZJZPRDV-GFCCVEGCSA-N
14,"N,N-dimethylarginine",202.1429758,,5,,YDGMGEXADBMOMJ-LURJTMIESA-N
14,16-glucuronide-estriol,464.2046326,36.546,6,,FQYGGFDZJFIDPU-JRSYHJKYSA-N
15,D-(+)-Pantothenic acid,219.1106726,,4,,GHOKWGTUZJEAQD-ZETCQYMHSA-N
15,D-glucose-6-phosphate,260.029719,22.1,6,,VFRROHXSMXFLSN-SLPGGIOYSA-N
15,albendazole,265.0884979,18.608,2,,HXHWSAZORRCQMX-UHFFFAOYSA-N
15,"2,4-dibromophenol",251.86084,13.904,1,,FAXWFCTVSHEODL-UHFFFAOYSA-N
15,(-)-dihydrocarveol,154.1357652,,1,,KRCZYMFUWVJCLI-OPRDCNLKSA-N
15,(-)-L-carnitine,161.1051933,,1,,PHIQHXFUZVPYII-ZCFIWIBFSA-N
15,TES,229.0620084,,5,,JOCBASBOOFNAJA-UHFFFAOYSA-N
15,methyl jasmonate,224.1412445,15.974,0,1,GEWDNTWNSAZUDX-WQMVXFAESA-N
15,dehydroascorbic acid,174.0164379,,2,,SBJKKFFYIZUCET-JLAZNSOCSA-N
16,"N,N-dimethylglycine",103.0633285,6.909,1,,FFDGPVCHZBVARC-UHFFFAOYSA-N
16,2-hydroxyphenylacetic acid,152.0473441,14.12,2,,CCVYRRGZDBSHFU-UHFFFAOYSA-N
16,thymidine,242.0902716,,2,,IQFYYKKMVGJFEH-XLPZGREQSA-N
16,trans-dehydroandrosterone,288.2089301,,1,,FMGSKLZLMKYGDP-USOAJAOKSA-N
16,(-)-epicatechin,290.0790382,25.859,5,,PFTAWBLQPZVEMU-UKRRQHHQSA-N
16,"2,3-dihydroxybiphenyl",186.0680796,17.268,2,,YKOQAAJBYBTSBS-UHFFFAOYSA-N
16,5-methoxypsoralen,216.0422587,12.286,0,,BGEBZHIAGXMEMV-UHFFFAOYSA-N
16,porphobilinogen,226.0953569,,5,,QSHWIQZFGQKFMA-UHFFFAOYSA-N
16,diethyl oxalpropionate,202.0841235,,0,,OQOCQBJWOCRPQY-UHFFFAOYSA-N
16,N-acetyl-L-cysteine,163.0303143,,3,,PWKSKIMOESPYIA-BYPYZUCNSA-N
17,2-(4-hydroxyphenyl)ethanol,138.0680796,14.216,2,,YCCILVSKPBXVIP-UHFFFAOYSA-N
17,xylitol,152.0684735,,5,,HEBKCHPVOIAQTA-NGQZWQHPSA-N
17,2-amino-3-methoxybenzoic acid,167.0582431,16.923,2,,SXOPCLUOUFQBJV-UHFFFAOYSA-N
17,D-tagatose,180.0633881,17.434,5,,LKDRXBCSQODPBY-OEXCPVAWSA-N
17,D-ribose-5-phosphate,230.0191543,,5,,PPQRONHOSHZGFQ-LMVFSUKVSA-N
17,methoxytryptamine,190.1106131,22.668,3,,JTEJPPKMYBDEMY-UHFFFAOYSA-N
17,3-chloro-L-tyrosine,215.0349209,,4,,ACWBBAGYTKWBCD-ZETCQYMHSA-N
17,N-acetyl-L-histidine,197.0800412,19.567,3,,KBOJOGQFRVVWBH-ZETCQYMHSA-N
17,3-hydroxybenzaldehyde,122.0367794,,3,,IAVREABSGIHHMO-UHFFFAOYSA-N
17,uridine 5′-monophosphate,324.035867,,5,,DJJCXFVJDGTHFX-XVFCMESISA-N
18,orcinol,124.0524295,12.658,2,,OIPPWFOQEKKFEE-UHFFFAOYSA-N
18,"1,4-dithioerythritol",154.0122219,19.601,4,,VHJLVAABSRFDPM-ZXZARUISSA-N
18,dopamine,153.0789786,19.597,4,,CTENFNNZBMHDDG-UHFFFAOYSA-N
18,arachidic acid,312.3028305,22.818,1,,VKOBVWXKNCXXDE-UHFFFAOYSA-N
18,biuret,103.0381764,,5,,OHJMTUPIZMNBFR-UHFFFAOYSA-N
18,2-hydroxychalcone,224.0837296,,1,1,UDOOPSJCRMKSGL-ZHACJKMWSA-N
18,fluorene,166.0782503,,0,,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
18,naringin,580.1792057,,8,,DFPMSGMNTNDNHN-ZPHOTFPESA-N
